loop,domain,checks,result,new_findings
1,domain_navigation,8,PASS,0
2,domain_dialog_inventory,5,PASS,0
3,domain_accessibility,2,PASS,0
4,domain_keyboard,3,PASS,0
5,domain_localization,4,PASS,0
6,domain_geometry,9,PASS,0
7,domain_safety,11,PASS,0
8,domain_workflows,1,PASS,0
9,domain_scaling_theme,8,PASS,0
10,domain_lifecycle,2,PASS,0
11,domain_navigation,8,PASS,0
12,domain_dialog_inventory,5,PASS,0
13,domain_accessibility,9,PASS,0
14,domain_keyboard,3,PASS,0
15,domain_localization,4,PASS,0
16,domain_geometry,33,PASS,0
17,domain_safety,5,PASS,0
18,domain_workflows,2,PASS,0
19,domain_scaling_theme,7,PASS,0
20,domain_lifecycle,2,PASS,0
21,domain_navigation,8,PASS,0
22,domain_dialog_inventory,5,PASS,0
23,domain_accessibility,4,PASS,0
24,domain_keyboard,3,PASS,0
25,domain_localization,4,PASS,0
26,domain_geometry,15,PASS,0
27,domain_safety,14,PASS,0
28,domain_workflows,1,PASS,0
29,domain_scaling_theme,7,PASS,0
30,domain_lifecycle,2,PASS,0
31,domain_navigation,8,PASS,0
32,domain_dialog_inventory,5,PASS,0
33,domain_accessibility,1,PASS,0
34,domain_keyboard,3,PASS,0
35,domain_localization,4,PASS,0
36,domain_geometry,6,PASS,0
37,domain_safety,6,PASS,0
38,domain_workflows,1,PASS,0
39,domain_scaling_theme,7,PASS,0
40,domain_lifecycle,2,PASS,0
41,domain_navigation,8,PASS,0
42,domain_dialog_inventory,5,PASS,0
43,domain_accessibility,2,PASS,0
44,domain_keyboard,3,PASS,0
45,domain_localization,4,PASS,0
46,domain_geometry,89,PASS,0
47,domain_safety,8,PASS,0
48,domain_workflows,2,PASS,0
49,domain_scaling_theme,7,PASS,0
50,domain_lifecycle,2,PASS,0
51,domain_navigation,8,PASS,0
52,domain_dialog_inventory,5,PASS,0
53,domain_accessibility,9,PASS,0
54,domain_keyboard,3,PASS,0
55,domain_localization,4,PASS,0
56,domain_geometry,98,PASS,0
57,domain_safety,4,PASS,0
58,domain_workflows,1,PASS,0
59,domain_scaling_theme,7,PASS,0
60,domain_lifecycle,2,PASS,0
61,domain_navigation,8,PASS,0
62,domain_dialog_inventory,5,PASS,0
63,domain_accessibility,7,PASS,0
64,domain_keyboard,3,PASS,0
65,domain_localization,4,PASS,0
66,domain_geometry,18,PASS,0
67,domain_safety,26,PASS,0
68,domain_workflows,1,PASS,0
69,domain_scaling_theme,7,PASS,0
70,domain_lifecycle,2,PASS,0
71,domain_navigation,8,PASS,0
72,domain_dialog_inventory,5,PASS,0
73,domain_accessibility,2,PASS,0
74,domain_keyboard,3,PASS,0
75,domain_localization,4,PASS,0
76,domain_geometry,6,PASS,0
77,domain_safety,3,PASS,0
78,domain_workflows,1,PASS,0
79,domain_scaling_theme,7,PASS,0
80,domain_lifecycle,2,PASS,0
81,domain_navigation,8,PASS,0
82,domain_dialog_inventory,5,PASS,0
83,domain_accessibility,2,PASS,0
84,domain_keyboard,3,PASS,0
85,domain_localization,4,PASS,0
86,domain_geometry,9,PASS,0
87,domain_safety,5,PASS,0
88,domain_workflows,1,PASS,0
89,domain_scaling_theme,7,PASS,0
90,domain_lifecycle,2,PASS,0
91,domain_navigation,8,PASS,0
92,domain_dialog_inventory,5,PASS,0
93,domain_accessibility,1,PASS,0
94,domain_keyboard,3,PASS,0
95,domain_localization,4,PASS,0
96,domain_geometry,19,PASS,0
97,domain_safety,6,PASS,0
98,domain_workflows,1,PASS,0
99,domain_scaling_theme,7,PASS,0
100,domain_lifecycle,2,PASS,0
101,domain_navigation,8,PASS,0
102,domain_dialog_inventory,5,PASS,0
103,domain_accessibility,1,PASS,0
104,domain_keyboard,3,PASS,0
105,domain_localization,4,PASS,0
106,domain_geometry,34,PASS,0
107,domain_safety,6,PASS,0
108,domain_workflows,1,PASS,0
109,domain_scaling_theme,7,PASS,0
110,domain_lifecycle,2,PASS,0
111,domain_navigation,8,PASS,0
112,domain_dialog_inventory,5,PASS,0
113,domain_accessibility,3,PASS,0
114,domain_keyboard,3,PASS,0
115,domain_localization,4,PASS,0
116,domain_geometry,13,PASS,0
117,domain_safety,5,PASS,0
118,domain_workflows,2,PASS,0
119,domain_scaling_theme,7,PASS,0
120,domain_lifecycle,2,PASS,0
121,domain_navigation,8,PASS,0
122,domain_dialog_inventory,5,PASS,0
123,domain_accessibility,6,PASS,0
124,domain_keyboard,3,PASS,0
125,domain_localization,4,PASS,0
126,domain_geometry,8,PASS,0
127,domain_safety,4,PASS,0
128,domain_workflows,1,PASS,0
129,domain_scaling_theme,7,PASS,0
130,domain_lifecycle,2,PASS,0
131,domain_navigation,8,PASS,0
132,domain_dialog_inventory,5,PASS,0
133,domain_accessibility,7,PASS,0
134,domain_keyboard,3,PASS,0
135,domain_localization,4,PASS,0
136,domain_geometry,32,PASS,0
137,domain_safety,6,PASS,0
138,domain_workflows,1,PASS,0
139,domain_scaling_theme,7,PASS,0
140,domain_lifecycle,2,PASS,0
141,domain_navigation,8,PASS,0
142,domain_dialog_inventory,5,PASS,0
143,domain_accessibility,4,PASS,0
144,domain_keyboard,3,PASS,0
145,domain_localization,4,PASS,0
146,domain_geometry,9,PASS,0
147,domain_safety,3,PASS,0
148,domain_workflows,2,PASS,0
149,domain_scaling_theme,7,PASS,0
150,domain_lifecycle,2,PASS,0
151,domain_navigation,8,PASS,0
152,domain_dialog_inventory,5,PASS,0
153,domain_accessibility,4,PASS,0
154,domain_keyboard,3,PASS,0
155,domain_localization,4,PASS,0
156,domain_geometry,7,PASS,0
157,domain_safety,12,PASS,0
158,domain_workflows,1,PASS,0
159,domain_scaling_theme,7,PASS,0
160,domain_lifecycle,2,PASS,0
161,domain_navigation,8,PASS,0
162,domain_dialog_inventory,5,PASS,0
163,domain_accessibility,1,PASS,0
164,domain_keyboard,3,PASS,0
165,domain_localization,4,PASS,0
166,domain_geometry,7,PASS,0
167,domain_safety,6,PASS,0
168,domain_workflows,1,PASS,0
169,domain_scaling_theme,7,PASS,0
170,domain_lifecycle,2,PASS,0
171,domain_navigation,8,PASS,0
172,domain_dialog_inventory,5,PASS,0
173,domain_accessibility,7,PASS,0
174,domain_keyboard,3,PASS,0
175,domain_localization,4,PASS,0
176,domain_geometry,5,PASS,0
177,domain_safety,4,PASS,0
178,domain_workflows,1,PASS,0
179,domain_scaling_theme,7,PASS,0
180,domain_lifecycle,2,PASS,0
181,domain_navigation,8,PASS,0
182,domain_dialog_inventory,5,PASS,0
183,domain_accessibility,11,PASS,0
184,domain_keyboard,3,PASS,0
