loop,domain,checks,status,detail
1,k1_first_run_path,11,PASS,Erststartpfad ok
2,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
3,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
4,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
5,k5_help_wiki,11,PASS,Wiki-Topic ok
6,k6_text_quality,197,PASS,de: 40 Werte sauber
7,k7_update_path,6,PASS,Update-Pfad ok
8,k8_key_discipline,60,PASS,Schluesseldisziplin ok
9,k9_dialog_invariants,1,PASS,account_data_hub.py: Invarianten ok
10,k10_regression_shield,14,PASS,Regressionsschild intakt
11,k1_first_run_path,11,PASS,Erststartpfad ok
12,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
13,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
14,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
15,k5_help_wiki,11,PASS,Wiki-Topic ok
16,k6_text_quality,200,PASS,en: 40 Werte sauber
17,k7_update_path,6,PASS,Update-Pfad ok
18,k8_key_discipline,66,PASS,Schluesseldisziplin ok
19,k9_dialog_invariants,3,PASS,account_management_dialog.py: Invarianten ok
20,k10_regression_shield,14,PASS,Regressionsschild intakt
21,k1_first_run_path,11,PASS,Erststartpfad ok
22,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
23,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
24,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
25,k5_help_wiki,11,PASS,Wiki-Topic ok
26,k6_text_quality,194,PASS,fr: 40 Werte sauber
27,k7_update_path,6,PASS,Update-Pfad ok
28,k8_key_discipline,68,PASS,Schluesseldisziplin ok
29,k9_dialog_invariants,3,PASS,backup_restore_dialog.py: Invarianten ok
30,k10_regression_shield,14,PASS,Regressionsschild intakt
31,k1_first_run_path,11,PASS,Erststartpfad ok
32,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
33,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
34,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
35,k5_help_wiki,11,PASS,Wiki-Topic ok
36,k6_text_quality,194,PASS,de: 40 Werte sauber
37,k7_update_path,6,PASS,Update-Pfad ok
38,k8_key_discipline,62,PASS,Schluesseldisziplin ok
39,k9_dialog_invariants,5,PASS,budget_adjustment_dialog.py: Invarianten ok
40,k10_regression_shield,14,PASS,Regressionsschild intakt
41,k1_first_run_path,11,PASS,Erststartpfad ok
42,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
43,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
44,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
45,k5_help_wiki,11,PASS,Wiki-Topic ok
46,k6_text_quality,179,PASS,en: 40 Werte sauber
47,k7_update_path,6,PASS,Update-Pfad ok
48,k8_key_discipline,70,PASS,Schluesseldisziplin ok
49,k9_dialog_invariants,5,PASS,budget_entry_dialog_extended.py: Invarianten ok
50,k10_regression_shield,14,PASS,Regressionsschild intakt
51,k1_first_run_path,11,PASS,Erststartpfad ok
52,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
53,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
54,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
55,k5_help_wiki,11,PASS,Wiki-Topic ok
56,k6_text_quality,194,PASS,fr: 40 Werte sauber
57,k7_update_path,6,PASS,Update-Pfad ok
58,k8_key_discipline,60,PASS,Schluesseldisziplin ok
59,k9_dialog_invariants,3,PASS,budget_fill_dialog.py: Invarianten ok
60,k10_regression_shield,14,PASS,Regressionsschild intakt
61,k1_first_run_path,11,PASS,Erststartpfad ok
62,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
63,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
64,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
65,k5_help_wiki,11,PASS,Wiki-Topic ok
66,k6_text_quality,197,PASS,de: 40 Werte sauber
67,k7_update_path,6,PASS,Update-Pfad ok
68,k8_key_discipline,60,PASS,Schluesseldisziplin ok
69,k9_dialog_invariants,3,PASS,category_delete_dialog.py: Invarianten ok
70,k10_regression_shield,14,PASS,Regressionsschild intakt
71,k1_first_run_path,11,PASS,Erststartpfad ok
72,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
73,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
74,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
75,k5_help_wiki,11,PASS,Wiki-Topic ok
76,k6_text_quality,191,PASS,en: 40 Werte sauber
77,k7_update_path,6,PASS,Update-Pfad ok
78,k8_key_discipline,60,PASS,Schluesseldisziplin ok
79,k9_dialog_invariants,1,PASS,category_excel_io.py: Invarianten ok
80,k10_regression_shield,14,PASS,Regressionsschild intakt
81,k1_first_run_path,11,PASS,Erststartpfad ok
82,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
83,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
84,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
85,k5_help_wiki,11,PASS,Wiki-Topic ok
86,k6_text_quality,200,PASS,fr: 40 Werte sauber
87,k7_update_path,6,PASS,Update-Pfad ok
88,k8_key_discipline,65,PASS,Schluesseldisziplin ok
89,k9_dialog_invariants,3,PASS,category_manager_dialog.py: Invarianten ok
90,k10_regression_shield,14,PASS,Regressionsschild intakt
91,k1_first_run_path,11,PASS,Erststartpfad ok
92,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
93,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
94,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
95,k5_help_wiki,11,PASS,Wiki-Topic ok
96,k6_text_quality,200,PASS,de: 40 Werte sauber
97,k7_update_path,6,PASS,Update-Pfad ok
98,k8_key_discipline,60,PASS,Schluesseldisziplin ok
99,k9_dialog_invariants,1,PASS,category_picker.py: Invarianten ok
100,k10_regression_shield,14,PASS,Regressionsschild intakt
101,k1_first_run_path,11,PASS,Erststartpfad ok
102,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
103,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
104,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
