loop,domain,checks,result
1,d1_destructive,8,PASS
2,d2_a11y_i18n,1,PASS
3,d3_filter_hygiene,1,PASS
4,d4_focus_rules,1,PASS
5,d5_cockpit_presets,6,PASS
6,d6_placeholders,24,PASS
7,d7_refs,36,PASS
8,d8_scaling,1,PASS
9,d9_icon_buttons,1,PASS
10,d10_enter_defaults,1,PASS
11,d1_destructive,8,PASS
12,d2_a11y_i18n,1,PASS
13,d3_filter_hygiene,1,PASS
14,d4_focus_rules,1,PASS
15,d5_cockpit_presets,6,PASS
16,d6_placeholders,23,PASS
17,d7_refs,66,PASS
18,d8_scaling,1,PASS
19,d9_icon_buttons,1,PASS
20,d10_enter_defaults,2,PASS
21,d1_destructive,8,PASS
22,d2_a11y_i18n,1,PASS
23,d3_filter_hygiene,1,PASS
24,d4_focus_rules,1,PASS
25,d5_cockpit_presets,6,PASS
26,d6_placeholders,23,PASS
27,d7_refs,21,PASS
28,d8_scaling,1,PASS
29,d9_icon_buttons,1,PASS
30,d10_enter_defaults,7,PASS
31,d1_destructive,8,PASS
32,d2_a11y_i18n,1,PASS
33,d3_filter_hygiene,1,PASS
34,d4_focus_rules,1,PASS
35,d5_cockpit_presets,6,PASS
36,d6_placeholders,23,PASS
37,d7_refs,111,PASS
38,d8_scaling,1,PASS
39,d9_icon_buttons,1,PASS
40,d10_enter_defaults,1,PASS
41,d1_destructive,8,PASS
42,d2_a11y_i18n,1,PASS
43,d3_filter_hygiene,1,PASS
44,d4_focus_rules,1,PASS
45,d5_cockpit_presets,6,PASS
46,d6_placeholders,23,PASS
47,d7_refs,3,PASS
48,d8_scaling,1,PASS
49,d9_icon_buttons,1,PASS
50,d10_enter_defaults,1,PASS
51,d1_destructive,8,PASS
52,d2_a11y_i18n,1,PASS
53,d3_filter_hygiene,1,PASS
54,d4_focus_rules,1,PASS
55,d5_cockpit_presets,6,PASS
56,d6_placeholders,23,PASS
57,d7_refs,21,PASS
58,d8_scaling,1,PASS
59,d9_icon_buttons,1,PASS
60,d10_enter_defaults,3,PASS
61,d1_destructive,8,PASS
62,d2_a11y_i18n,1,PASS
63,d3_filter_hygiene,1,PASS
64,d4_focus_rules,1,PASS
65,d5_cockpit_presets,6,PASS
66,d6_placeholders,23,PASS
67,d7_refs,0,PASS
68,d8_scaling,1,PASS
69,d9_icon_buttons,1,PASS
70,d10_enter_defaults,1,PASS
71,d1_destructive,8,PASS
72,d2_a11y_i18n,1,PASS
73,d3_filter_hygiene,1,PASS
74,d4_focus_rules,1,PASS
75,d5_cockpit_presets,6,PASS
76,d6_placeholders,23,PASS
77,d7_refs,3,PASS
78,d8_scaling,1,PASS
79,d9_icon_buttons,1,PASS
80,d10_enter_defaults,1,PASS
81,d1_destructive,8,PASS
82,d2_a11y_i18n,1,PASS
83,d3_filter_hygiene,1,PASS
84,d4_focus_rules,1,PASS
85,d5_cockpit_presets,6,PASS
86,d6_placeholders,23,PASS
87,d7_refs,87,PASS
88,d8_scaling,1,PASS
89,d9_icon_buttons,1,PASS
90,d10_enter_defaults,1,PASS
91,d1_destructive,8,PASS
92,d2_a11y_i18n,1,PASS
93,d3_filter_hygiene,1,PASS
94,d4_focus_rules,1,PASS
95,d5_cockpit_presets,6,PASS
96,d6_placeholders,23,PASS
97,d7_refs,57,PASS
98,d8_scaling,1,PASS
99,d9_icon_buttons,1,PASS
100,d10_enter_defaults,1,PASS
101,d1_destructive,8,PASS
102,d2_a11y_i18n,1,PASS
103,d3_filter_hygiene,1,PASS
104,d4_focus_rules,1,PASS
105,d5_cockpit_presets,6,PASS
106,d6_placeholders,23,PASS
107,d7_refs,285,PASS
108,d8_scaling,1,PASS
109,d9_icon_buttons,1,PASS
110,d10_enter_defaults,2,PASS
111,d1_destructive,8,PASS
112,d2_a11y_i18n,1,PASS
113,d3_filter_hygiene,1,PASS
114,d4_focus_rules,1,PASS
115,d5_cockpit_presets,6,PASS
116,d6_placeholders,22,PASS
117,d7_refs,18,PASS
118,d8_scaling,1,PASS
119,d9_icon_buttons,1,PASS
120,d10_enter_defaults,1,PASS
121,d1_destructive,8,PASS
122,d2_a11y_i18n,1,PASS
123,d3_filter_hygiene,1,PASS
124,d4_focus_rules,1,PASS
125,d5_cockpit_presets,6,PASS
126,d6_placeholders,22,PASS
